Question,Answer
ধানের ভালো ফলন পেতে কী ধরনের সার ব্যবহার করা উচিত?,"ধানের ভালো ফলনের জন্য ইউরিয়া, টিএসপি এবং এমওপি সারের সঠিক অনুপাতে ব্যবহার করা দরকার।"
ধানের ব্লাস্ট রোগ হলে করণীয় কী?,ধানের ব্লাস্ট রোগ হলে ট্রাইসাইক্লাজোল বা অ্যাজোক্সিসট্রবিন জাতীয় ছত্রাকনাশক ৭-১০ দিন অন্তর স্প্রে করা উচিত।
ধান চাষের জন্য সঠিক সময় কোনটি?,"ধান চাষের সঠিক সময় নির্ভর করে জাতের উপর, সাধারণত আমন, বোরো ও আউশ ধানের জন্য ভিন্ন সময় নির্ধারিত।"
বীজতলায় কীভাবে বীজের ভালো অঙ্কুরোদগম নিশ্চিত করা যায়?,বীজতলায় জৈব সার প্রয়োগ এবং পর্যাপ্ত আর্দ্রতা নিশ্চিত করতে হবে।
ধানের জমিতে আগাছা নিয়ন্ত্রণের সর্বোত্তম পদ্ধতি কী?,আগাছা দমনের জন্য আগাছানাশক স্প্রে এবং হাতে নির্দিষ্ট সময় অন্তর আগাছা পরিস্কার করা উচিত।
ধানের পাতা কুকড়ে গেলে এর কারণ ও প্রতিকার কী?,"পাতা কুকড়ে যাওয়ার কারণ হতে পারে পোকামাকড় আক্রমণ বা পুষ্টির ঘাটতি, তাই কীটনাশক ও সারের সুষম ব্যবহার করা প্রয়োজন।"
ধান ক্ষেতে বাদামি ছাঁই পোকার আক্রমণ হলে কী করা উচিত?,বাদামি ছাঁই পোকার আক্রমণ হলে কীটনাশক স্প্রে করা উচিত এবং আক্রান্ত পাতা কেটে ফেলা দরকার।
ধান চাষে জৈব সার ও রাসায়নিক সার কীভাবে ব্যালেন্স করা যায়?,জৈব সার ও রাসায়নিক সার নির্দিষ্ট অনুপাতে প্রয়োগ করলে উর্বরতা বাড়ে ও ফলন ভালো হয়।
সেচ ব্যবস্থাপনা ধান উৎপাদনে কীভাবে প্রভাব ফেলে?,"সঠিক সেচের মাধ্যমে ধান গাছের স্বাস্থ্য ভালো রাখা যায়, বিশেষ করে কাদা অবস্থায় রাখার প্রয়োজনীয়তা রয়েছে।"
ব্লাস্ট ও ব্লাইট রোগ থেকে ধান কীভাবে রক্ষা করা যায়?,রোগ প্রতিরোধী জাত নির্বাচন এবং নির্ধারিত কীটনাশক ও ছত্রাকনাশক ব্যবহার করতে হবে।
শীতকালে কোন সবজির চাষ সবচেয়ে লাভজনক?,"শীতকালে বাঁধাকপি, ফুলকপি, টমেটো, গাজর ও মূলা চাষ লাভজনক।"
গ্রীষ্মকালীন সবজি চাষের জন্য সেরা জাত কোনটি?,"গ্রীষ্মকালে করলা, লাউ, ঢেঁড়স, শসা ও পেঁপে চাষ লাভজনক।"
গাজর ও মূলা চাষে কী ধরনের মাটি ভালো?,গাজর ও মূলা চাষের জন্য দোআঁশ মাটি বেশি উপযুক্ত।
পাতাকপি ও ফুলকপির পোকামাকড় দমন পদ্ধতি কী?,পাতাকপি ও ফুলকপির পোকা দমনে জৈব ও রাসায়নিক কীটনাশক ব্যবহার করতে হয়।
বেগুন গাছের ডগা মরা রোগ হলে করণীয় কী?,বেগুন গাছের ডগা মরা রোগ হলে ছত্রাকনাশক স্প্রে করা ও আক্রান্ত অংশ কেটে ফেলতে হবে।
মরিচ চাষে উচ্চ ফলন পেতে কী কী ব্যবস্থা নিতে হবে?,উন্নত জাত নির্বাচন এবং পর্যাপ্ত পরিমাণে পানি ও সার সরবরাহ করা দরকার।
টমেটো গাছে ফল ঝরে পড়ার কারণ ও প্রতিকার কী?,"ফল ঝরে পড়ার অন্যতম কারণ পানির অভাব, তাই নিয়মিত পানি ও সার সরবরাহ করা প্রয়োজন।"
পেঁপে চাষে বেশি ফলন পাওয়ার কৌশল কী?,সঠিক সময়ে সেচ দেওয়া ও পোকামাকড় দমন করতে হবে।
কচু চাষের জন্য আদর্শ সেচ ব্যবস্থা কী?,কচু চাষে পর্যাপ্ত পানি ও জৈব সার প্রয়োগ করা দরকার।
সবজি চাষে জৈব কীটনাশক কীভাবে তৈরি করা যায়?,নিমতেল ও লবঙ্গের মিশ্রণ কীটনাশক হিসেবে ব্যবহার করা যেতে পারে।
আম গাছে কীটনাশক স্প্রে করার সঠিক সময় কখন?,ফুল আসার আগে এবং পরে কীটনাশক স্প্রে করতে হবে।
লিচু গাছে ফুল ফোটানোর জন্য কী করতে হবে?,লিচু গাছে ফুল ফোটানোর জন্য সঠিক সার ও পানি সরবরাহ করতে হবে।
নারিকেল গাছে লাল মাকড়সার আক্রমণ হলে প্রতিকার কী?,কপার-ভিত্তিক ছত্রাকনাশক স্প্রে করতে হবে।
পেয়ারা গাছের শিকড় পচা রোগ প্রতিরোধের উপায় কী?,পেয়ারা গাছের শিকড় পচা রোগ থেকে রক্ষার জন্য সঠিক নিষ্কাশন ব্যবস্থা নিশ্চিত করা দরকার।
কাঁঠাল চাষের জন্য উপযুক্ত জলবায়ু ও মাটি কেমন হওয়া উচিত?,কাঁঠাল চাষের জন্য উষ্ণ ও আদ্র জলবায়ু প্রয়োজন।
গরুর দুধ উৎপাদন বাড়াতে কী করা উচিত?,"গরুর খাদ্যতালিকায় ঘাস, দানাদার খাদ্য ও খনিজ লবণ রাখতে হবে।"
হাঁস-মুরগির রোগ প্রতিরোধে কী করা উচিত?,হাঁস-মুরগির জন্য নিয়মিত টিকা ও পরিচ্ছন্নতা নিশ্চিত করতে হবে।
গরুর কৃমি প্রতিরোধে কী ব্যবস্থা নেওয়া উচিত?,গরুর কৃমি প্রতিরোধে প্রতি ৬ মাস অন্তর কৃমিনাশক ওষুধ দেওয়া দরকার।
দুধ উৎপাদন বাড়াতে গাভীকে কী ধরনের খাবার খাওয়ানো উচিত?,গাভীর দুধ উৎপাদন বাড়াতে উচ্চ মানের দানাদার খাদ্য ও পর্যাপ্ত পানি দিতে হবে।
